=== START arm_a-ctrl @ 2026-05-26T11:57:59Z ===
logs/ac9c5ed6-960a-4f60-a913-7a3b0c11fafe.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=linear
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H162 per-block MuonH LR DISABLED (single global LR)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_115804-i3k5zbhs
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-tanjiro/h179-arm_a-ctrl
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/i3k5zbhs
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.913057327270508, 'final_fnorm': 15.913058280944824}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.6195182800293, 'final_fnorm': 47.61952209472656}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.894183158874512, 'final_fnorm': 15.894183158874512}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.61994171142578, 'final_fnorm': 47.61994552612305}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.925324440002441, 'final_fnorm': 15.925324440002441}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.56242752075195, 'final_fnorm': 47.56242752075195}]
[H162 INIT] SINGLE-GROUP MuonH path: built 1 param group (exponent=0.0, CTRL bit-identical to baseline)
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.913058280944824}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.61952209472656}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.894183158874512}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.61994552612305}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.925324440002441}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.56242752075195}]
step:1/3325 train_time:9.423s step_avg:9422.97ms
step:2/3325 train_time:12.472s step_avg:6235.83ms
step:3/3325 train_time:14.706s step_avg:4902.10ms
step:4/3325 train_time:16.940s step_avg:4234.99ms
[rank0]:W0526 11:58:38.184000 445299 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0526 11:58:38.184000 445299 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0526 11:58:38.184000 445299 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0526 11:58:38.184000 445299 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0526 11:58:38.184000 445299 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:18.736s step_avg:3747.21ms
step:6/3325 train_time:20.524s step_avg:3420.71ms
step:7/3325 train_time:22.313s step_avg:3187.58ms
step:8/3325 train_time:24.103s step_avg:3012.93ms
step:9/3325 train_time:25.894s step_avg:2877.07ms
step:10/3325 train_time:27.685s step_avg:2768.47ms
step:11/3325 train_time:29.477s step_avg:2679.73ms
step:12/3325 train_time:31.266s step_avg:2605.54ms
step:13/3325 train_time:33.056s step_avg:2542.76ms
step:14/3325 train_time:34.846s step_avg:2489.02ms
step:15/3325 train_time:36.637s step_avg:2442.46ms
step:16/3325 train_time:38.428s step_avg:2401.73ms
step:17/3325 train_time:40.219s step_avg:2365.79ms
step:18/3325 train_time:42.010s step_avg:2333.88ms
step:19/3325 train_time:43.802s step_avg:2305.37ms
step:20/3325 train_time:45.593s step_avg:2279.67ms
step:21/3325 train_time:47.384s step_avg:2256.39ms
step:22/3325 train_time:49.176s step_avg:2235.29ms
step:23/3325 train_time:50.969s step_avg:2216.06ms
step:24/3325 train_time:52.762s step_avg:2198.43ms
step:25/3325 train_time:54.829s step_avg:2193.18ms
step:26/3325 train_time:56.622s step_avg:2177.78ms
step:27/3325 train_time:58.415s step_avg:2163.51ms
step:28/3325 train_time:60.208s step_avg:2150.28ms
step:29/3325 train_time:62.001s step_avg:2137.95ms
step:30/3325 train_time:63.811s step_avg:2127.04ms
step:31/3325 train_time:65.605s step_avg:2116.30ms
step:32/3325 train_time:67.399s step_avg:2106.23ms
step:33/3325 train_time:69.193s step_avg:2096.76ms
step:34/3325 train_time:70.988s step_avg:2087.87ms
step:35/3325 train_time:72.782s step_avg:2079.50ms
step:36/3325 train_time:74.578s step_avg:2071.60ms
step:37/3325 train_time:76.373s step_avg:2064.12ms
step:38/3325 train_time:78.167s step_avg:2057.03ms
step:39/3325 train_time:79.963s step_avg:2050.33ms
step:40/3325 train_time:81.758s step_avg:2043.96ms
step:41/3325 train_time:83.555s step_avg:2037.93ms
step:42/3325 train_time:85.350s step_avg:2032.14ms
step:43/3325 train_time:87.144s step_avg:2026.61ms
step:44/3325 train_time:88.939s step_avg:2021.34ms
step:45/3325 train_time:90.733s step_avg:2016.29ms
step:46/3325 train_time:92.528s step_avg:2011.48ms
step:47/3325 train_time:94.324s step_avg:2006.89ms
step:48/3325 train_time:96.119s step_avg:2002.48ms
step:49/3325 train_time:97.914s step_avg:1998.25ms
step:50/3325 train_time:102.638s step_avg:2052.77ms
step:51/3325 train_time:104.433s step_avg:2047.71ms
step:52/3325 train_time:106.228s step_avg:2042.84ms
step:53/3325 train_time:108.022s step_avg:2038.16ms
step:54/3325 train_time:109.817s step_avg:2033.66ms
step:55/3325 train_time:111.612s step_avg:2029.30ms
step:56/3325 train_time:113.408s step_avg:2025.14ms
step:57/3325 train_time:115.204s step_avg:2021.12ms
step:58/3325 train_time:116.999s step_avg:2017.22ms
step:59/3325 train_time:118.793s step_avg:2013.44ms
step:60/3325 train_time:120.606s step_avg:2010.10ms
step:61/3325 train_time:122.401s step_avg:2006.57ms
step:62/3325 train_time:124.196s step_avg:2003.16ms
step:63/3325 train_time:125.992s step_avg:1999.87ms
