logs/1bea2394-c3fa-4e39-a632-88e44da82f6e.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260524_105120-sayq1ut0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-frieren/H118_arm_a_ctrl
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/sayq1ut0
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3325 train_time:4.174s step_avg:4173.68ms
step:2/3325 train_time:5.957s step_avg:2978.60ms
step:3/3325 train_time:7.739s step_avg:2579.71ms
step:4/3325 train_time:9.521s step_avg:2380.16ms
step:5/3325 train_time:11.302s step_avg:2260.41ms
step:6/3325 train_time:13.084s step_avg:2180.71ms
step:7/3325 train_time:14.866s step_avg:2123.68ms
step:8/3325 train_time:16.650s step_avg:2081.21ms
step:9/3325 train_time:18.433s step_avg:2048.11ms
step:10/3325 train_time:20.217s step_avg:2021.71ms
step:11/3325 train_time:22.002s step_avg:2000.22ms
step:12/3325 train_time:23.787s step_avg:1982.27ms
step:13/3325 train_time:25.572s step_avg:1967.11ms
step:14/3325 train_time:27.357s step_avg:1954.07ms
step:15/3325 train_time:29.142s step_avg:1942.83ms
step:16/3325 train_time:30.929s step_avg:1933.09ms
step:17/3325 train_time:32.716s step_avg:1924.45ms
step:18/3325 train_time:34.502s step_avg:1916.79ms
step:19/3325 train_time:36.288s step_avg:1909.88ms
step:20/3325 train_time:38.074s step_avg:1903.71ms
step:21/3325 train_time:39.862s step_avg:1898.17ms
step:22/3325 train_time:41.649s step_avg:1893.14ms
step:23/3325 train_time:43.437s step_avg:1888.55ms
step:24/3325 train_time:45.225s step_avg:1884.36ms
step:25/3325 train_time:47.285s step_avg:1891.40ms
step:26/3325 train_time:49.072s step_avg:1887.40ms
step:27/3325 train_time:50.860s step_avg:1883.71ms
step:28/3325 train_time:52.648s step_avg:1880.30ms
step:29/3325 train_time:54.439s step_avg:1877.20ms
step:30/3325 train_time:56.246s step_avg:1874.86ms
step:31/3325 train_time:58.035s step_avg:1872.09ms
